session_id,label,weak_label,risk_score,label_reason,language,task,task_status,final_score,event_count,duration_sec,paste_action_count,paste_event_count,pasted_chars,inserted_chars,max_insert_chars,source_file
tasktracker_cpp_brackets_brackets_415_2030942666_1342391048426.0205_ea5ca3b3c1275c823d08c6f24c1a95ca131019ab,1,1,4.75,explicit paste action; large code insertion; large pasted/inferred-paste volume,cpp,brackets,SOLVED,0.25,51,910.246,1,5,1183,1383,1070,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\brackets\brackets_415_2030942666_1342391048426.0205_ea5ca3b3c1275c823d08c6f24c1a95ca131019ab.csv
tasktracker_cpp_brackets_brackets_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,1,1,2.75,large code insertion; large pasted/inferred-paste volume,cpp,brackets,SOLVED,0.25,44,255.03,0,3,324,581,133,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\brackets\brackets_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_cpp_max_3_max_3_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,0,0,0.25,low-risk trace,cpp,max_3,SOLVED,0.2708,17,122.622,0,2,177,286,96,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\max_3\max_3_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_cpp_max_digit_max_digit_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,1,1,2.75,large code insertion; large pasted/inferred-paste volume,cpp,max_digit,SOLVED,0.25,74,502.943,0,4,386,1041,133,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\max_digit\max_digit_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_cpp_pies_pies_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,0,0,0.25,low-risk trace,cpp,pies,SOLVED,0.1667,34,194.797,0,1,80,513,80,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\pies\pies_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_cpp_voting_voting_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,0,0,0.25,low-risk trace,cpp,voting,SOLVED,0.1667,27,221.304,0,2,185,573,104,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\voting\voting_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_cpp_zero_zero_415_2030942666_1342391048426.0205_ea5ca3b3c1275c823d08c6f24c1a95ca131019ab,1,1,2.25,explicit paste action,cpp,zero,SOLVED,0.1667,244,168.847,1,1,1,259,7,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\zero\zero_415_2030942666_1342391048426.0205_ea5ca3b3c1275c823d08c6f24c1a95ca131019ab.csv
tasktracker_cpp_zero_zero_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9,0,0,0.25,low-risk trace,cpp,zero,SOLVED,0.1667,140,134.793,0,0,0,205,30,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\cpp\zero\zero_6007_601516113_1434084295547.0525_c5979f68e401d08c3e057cb6206469a7a11a8fd9.csv
tasktracker_java_brackets_brackets_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40,0,0,1.75,large code insertion,java,brackets,SOLVED,0.0,328,730.919,0,1,237,774,237,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\brackets\brackets_4072_1575609932_1466351377412.086_54781d5e46ef7eb423e373269a8119246f8aab40.csv
tasktracker_java_brackets_brackets_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112,0,0,1.75,large code insertion,java,brackets,SOLVED,0.1875,313,405.988,0,1,144,710,144,data\raw\tasktracker\extracted\data_google_drive_anonymized (SIGSCE 2020)\java\brackets\brackets_50727_1749342367_1256896303556.269_1cfc1d2bf71946e0917638983a2f1f205a12b112.csv
